"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17614","test check box","chromium","Sat Oct 12 21:03:49 IST 2024","passed","Sat Oct 12 21:04:06 IST 2024","","Locators.spec.js","",""
"","30314","test","chromium","Sat Oct 12 21:03:47 IST 2024","broken","Sat Oct 12 21:04:17 IST 2024","","Locators.spec.js","",""
"","1027","serch","chromium","Sat Oct 12 21:04:14 IST 2024","passed","Sat Oct 12 21:04:15 IST 2024","","Locators.spec.js","",""
"","5876","validate HomePage URL","chromium","Sun Oct 20 11:20:20 IST 2024","passed","Sun Oct 20 11:20:26 IST 2024","","HomePageLogin.spec.js","",""
"","8228","locate test","chromium","Sat Oct 12 21:10:04 IST 2024","passed","Sat Oct 12 21:10:12 IST 2024","","Locators.spec.js","",""
"","6886","test without object","chromium","Sun Oct 20 11:20:29 IST 2024","passed","Sun Oct 20 11:20:35 IST 2024","","HomePageLogin.spec.js","",""
"","1","post user details","chromium","Sat Oct 12 21:04:16 IST 2024","skipped","Sat Oct 12 21:04:16 IST 2024","","Locators.spec.js","",""
"","394","get user details","chromium","Sat Oct 12 21:04:15 IST 2024","passed","Sat Oct 12 21:04:16 IST 2024","","Locators.spec.js","",""
"","9361","locate multiple web elements","chromium","Sat Oct 12 21:03:37 IST 2024","passed","Sat Oct 12 21:03:46 IST 2024","","Locators.spec.js","",""
"","7959","test dropdown","chromium","Sat Oct 12 21:04:06 IST 2024","passed","Sat Oct 12 21:04:14 IST 2024","","Locators.spec.js","",""
"","1","test multi select dropdown","chromium","Sat Oct 12 21:04:15 IST 2024","skipped","Sat Oct 12 21:04:15 IST 2024","","Locators.spec.js","",""
